State,PHC,CHC,SDH,DH,Total,Beds,Positive
A&N,27,4,0,3,34,124,11
Andhra Pradesh,1417,198,31,20,1666,6079,348
Arunachal Pradesh,122,62,0,15,199,232,1
Assam,1007,166,14,33,1220,1911,28
Bihar,2007,63,33,43,2146,1779,38
Chandigarh,40,2,1,4,47,375,18
Chhattisgarh,813,166,12,32,1023,1435,10
Dadra & Nagar Haveli,9,2,1,1,13,568,10
Daman & Diu,4,2,0,2,8,298,10
Delhi,534,25,9,47,615,2057,669
Goa,31,4,2,3,40,266,7
Gujarat,1770,385,44,37,2236,4112,179
Haryana,500,131,24,28,683,1384,147
Himachal Pradesh,516,79,61,15,671,870,18
Jammu & Kashmir,702,87,0,29,818,1134,158
Jharkhand,343,179,13,23,558,740,4
Karnataka,2547,207,147,42,2943,5633,181
Kerala,933,229,82,53,1297,3951,345
Lakshadweep,4,3,2,1,10,25,10
Madhya Pradesh,1420,324,72,51,1867,3814,229
Maharashtra,2638,430,101,70,3239,6899,1135
Manipur,87,17,1,9,114,256,1
Meghalaya,138,29,0,13,180,458,10
Mizoram,65,10,3,9,87,231,10
Nagaland,134,21,0,11,166,194,1
Odisha,1360,377,27,35,1799,1649,42
Puducherry,40,4,5,4,53,446,5
Punjab,521,146,47,28,742,1352,101
Rajasthan,2463,579,64,33,3139,5184,381
Sikkim,25,2,1,4,32,114,10
Tamil Nadu,1854,385,310,32,2581,7261,738
Telangana,788,82,47,15,932,1735,427
Tripura,114,22,12,9,157,489,1
Uttar Pradesh,3277,671,0,174,4122,5831,361
Uttarakhand,275,69,19,20,383,666,33
West Bengal,1374,406,70,55,1905,5116,103